gkoe;04.02.2019 00:00:00;Merge branch 'master' of gitlab.com:gkoe/LeoIot;68ad418;0;0;0
gkoe;04.02.2019 00:00:00;SimplePir RgbLed;13590d9;32;922;148
Richard Stock;04.02.2019 00:00:00;OtaUpdate now woking with Logger;5df6fae;2;12;10
Richard Stock;04.02.2019 00:00:00;Added a ReadMe to MAX4466 and found some useless methods.;6af0d86;3;59;2
Richard Stock;04.02.2019 00:00:00;MqttClient working now with Logger.;eaded04;3;45;33
Richard Stock;03.02.2019 00:00:00;InternLed and IrdaModule working now with Logger;c131c1f;2;58;62
Richard Stock;03.02.2019 00:00:00;HttpServer working now with Logger;4eab419;0;0;0
Richard Stock;02.02.2019 00:00:00;Actor working now with Logger;41a92ad;0;0;0
Richard Stock;01.02.2019 00:00:00;Merge branch 'LED' into 'master';2d22aa6;0;0;0
Richard Stock;01.02.2019 00:00:00;Merge branch 'master' into 'LED';72bbc4d;0;0;0
Richard Stock;01.02.2019 00:00:00;Last Changes from Tdot.;308c3f8;3;18;18
gkoe;26.01.2019 00:00:00;tadeot hacks;c17be89;0;0;0
Richard Stock;24.01.2019 00:00:00;Changed the calibration of MAX4466;8df2273;3;7;9
Richard Stock;24.01.2019 00:00:00;Added a new APP also found a bug.;ec454b7;7;265;0
Richard Stock;23.01.2019 00:00:00;Added a new Sensor MAX4466;d8398e8;13;295;0
Richard Stock;23.01.2019 00:00:00;Changed the prototype;a70c074;5;27;7
Peter Sigmund;22.01.2019 00:00:00;Merge branch 'PIR' into 'master';ec88f5d;0;0;0
PeterSigmund12;22.01.2019 00:00:00;Edit Pir;517003b;0;0;0
PeterSigmund12;22.01.2019 00:00:00;Edit Pir;80ce3d0;3;7;2
PeterSigmund12;22.01.2019 00:00:00;Edit Things;b3090ad;2;7;7
PeterSigmund12;21.01.2019 00:00:00;Edit Prototyp for Tadeot;9ec9bb3;0;0;0
Peter Sigmund;21.01.2019 00:00:00;Merge branch 'BeamerStrom' into 'master';7724e18;0;0;0
PeterSigmund12;21.01.2019 00:00:00;Add ClassroomPrototype;90c2036;7;260;0
gkoe;20.01.2019 00:00:00;seminarthing;eba3c92;27;405;33
Richard Stock;13.01.2019 00:00:00;Merge branch 'master' of https://gitlab.com/gkoe/LeoIot;d7b4611;0;0;0
Richard Stock;13.01.2019 00:00:00;Added new Class for my prototype;f64b426;8;269;0
Peter Sigmund;13.01.2019 00:00:00;Merge branch 'BeamerStrom' into 'master';193512c;0;0;0
PeterSigmund12;13.01.2019 00:00:00;Add ClassroomBeamerStrom and edit Hlw8012 Library (Sensor);811af62;10;256;4
gkoe;11.01.2019 00:00:00;rgbled created beeper refactoring;99d414e;21;521;23
Richard Stock;07.01.2019 00:00:00;Merge branch 'Ota' into 'master';9644d7b;0;0;0
Richard Stock;07.01.2019 00:00:00;Merge branch 'master' into 'Ota';4ec918a;0;0;0
Peter Sigmund;06.01.2019 00:00:00;Merge branch 'PIR' into 'master';8b64722;0;0;0
PeterSigmund12;06.01.2019 00:00:00;Updated PIR Readme;c2dd9fc;0;0;0
Richard Stock;04.01.2019 00:00:00;Merge branch 'LED' into 'master';09d6e75;0;0;0
Richard Stock;04.01.2019 00:00:00;Fixed Merge conflict.;81c65fe;0;0;0
Richard Stock;04.01.2019 00:00:00;ReadMe is now updated.;d4f73a6;2;4;0
Richard Stock;04.01.2019 00:00:00;ReadMe is now updated.;1292b37;2;4;0
Richard Stock;04.01.2019 00:00:00;Added a new method to set the light of strand;d161604;3;14;17
Richard Stock;04.01.2019 00:00:00;Scanner working now.;e011aea;4;6;6
Richard Stock;04.01.2019 00:00:00;Changed it to esp32 don't know if it works.;01c37b8;9;416;0
Richard Stock;04.01.2019 00:00:00;Merge branch 'BLESearch' into 'master';6073045;0;0;0
Richard Stock;04.01.2019 00:00:00;BLESearch with display.;5225eab;2;13;18
Richard Stock;04.01.2019 00:00:00;Merge branch 'UdpLogger' into 'master';1f7d4ad;0;0;0
Richard Stock;04.01.2019 00:00:00;Start File has been changed also Views have now a Directory.;8dc5828;5;7;3
Richard Stock;04.01.2019 00:00:00;Statusbar working now.;1fdc39d;6;27;8
Richard Stock;03.01.2019 00:00:00;Merge branch 'SoundSensor' into 'master';d635c12;0;0;0
Richard Stock;03.01.2019 00:00:00;SoundSensor working now without any problem.;6d1281f;5;31;35
Richard Stock;02.01.2019 00:00:00;Merge branch 'Automat' into 'master';3ac4668;0;0;0
Richard Stock;02.01.2019 00:00:00;Little Changes in StateMachine.;3636057;0;0;0
Richard Stock;02.01.2019 00:00:00;Merge branch 'I2C' into 'master';a0b49b0;0;0;0
Richard Stock;02.01.2019 00:00:00;I2C working now fine!;75e461f;4;8;4
gkoe;30.12.2018 00:00:00;Strommesser HLW8012;9552b6e;98;4734;0
Richard Stock;21.12.2018 00:00:00;Merge branch 'master' of https://gitlab.com/gkoe/LeoIot;00f33ca;0;0;0
Richard Stock;21.12.2018 00:00:00;Updated the some ReadMe.;a2efe32;8;30;31
PeterSigmund12;19.12.2018 00:00:00;Merge PIR;57fa564;0;0;0
PeterSigmund12;19.12.2018 00:00:00;AdShort changes;a3af217;3;13;7
PeterSigmund12;19.12.2018 00:00:00;Add ┬û┬ûacclimatizationTime;2141aff;2;45;40
gkoe;18.12.2018 00:00:00;datasheets pir and thermalsensor;eca57e8;2;0;0
gkoe;18.12.2018 00:00:00;cleanprojectdirectory and thermacamera;76eadd8;307;81179;2867
PeterSigmund12;17.12.2018 00:00:00;Changes in PIR Library;5004599;260;6064;675
Peter Sigmund;16.12.2018 00:00:00;Merge branch 'PIR' into 'master';d023248;0;0;0
PeterSigmund12;16.12.2018 00:00:00;Finish Automat for PIR;60fb3e1;5;157;82
Richard Stock;14.12.2018 00:00:00;Changed the TSL and fixed the bug 1C2 #33;7a5ebd8;4;12;7
Richard Stock;14.12.2018 00:00:00;Added to much ReadMe in the last commit.;e9ed5a5;2;0;0
Richard Stock;14.12.2018 00:00:00;Changed some ReadMe and also Renamed some folder.;21cc104;141;6;616
gkoe;13.12.2018 00:00:00;Kleine Optimierungen;74e6a05;0;0;0
gkoe;13.12.2018 00:00:00;Kleine Optimierungen;994b237;16;232;12
Richard Stock;13.12.2018 00:00:00;Added new Method for KY;969f83c;3;42;7
Richard Stock;12.12.2018 00:00:00;Merge branch 'BLE' into 'master';39ac129;0;0;0
Richard Stock;12.12.2018 00:00:00;Merge branch '2Core' into 'master';99a9708;0;0;0
Richard Stock;12.12.2018 00:00:00;Merge because of VS.;c3d1981;0;0;0
Richard Stock;12.12.2018 00:00:00;Changed the name of Automat also found a bug;9032e6d;15;18;12
gkoe;12.12.2018 00:00:00;Pressure sensors added;7081967;78;3484;0
Richard Stock;11.12.2018 00:00:00;Merge branch 'UdpLoggerClient' into 'master';1c37747;0;0;0
Richard Stock;10.12.2018 00:00:00;Last Changes in Light and DB;35b6550;3;3;3
Richard Stock;10.12.2018 00:00:00;Added rainbow to LED;9a68b8f;4;6;9
Richard Stock;10.12.2018 00:00:00;Changed the Automat with the Prof.;3482ad8;3;38;36
